syscall,sum_ns,count
issetugid,8788574,6021
sigreturn,17192424,3523
access,25422202,6021
accept,31569407,9567
munmap,35271304,6021
madvise,214996974,22012
mmap,371347457,60210
wait4,510525131,22657
close,817677617,71697
sendto,895071697,17954
openat,981982087,44289
write,5479848885,7204662
fork,9917506748,9579
open,27521661336,12042
pread,31559002806,6021
select,49959157921,12207
lseek,71985917076,12042
fstatat,292301763367,24084
fstat,543836911742,24084
read,595363645215,130949

