response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0387,0.0001,0.0000,0.0000,0.0384,0.0001,200,0.4387
0.0350,0.0001,0.0000,0.0000,0.0348,0.0001,200,0.4466
0.0346,0.0001,0.0000,0.0000,0.0344,0.0001,200,0.4471
0.0456,0.0002,0.0000,0.0001,0.0452,0.0001,200,0.4385
0.0449,0.0002,0.0000,0.0001,0.0444,0.0001,200,0.4440
0.0504,0.0001,0.0000,0.0000,0.0502,0.0001,200,0.4453
0.0512,0.0001,0.0000,0.0000,0.0510,0.0001,200,0.4456
0.0386,0.0002,0.0000,0.0001,0.0382,0.0001,200,0.4655
0.0375,0.0002,0.0000,0.0001,0.0371,0.0001,200,0.4774
0.0366,0.0002,0.0000,0.0000,0.0363,0.0001,200,0.4816
0.0354,0.0002,0.0000,0.0001,0.0350,0.0001,200,0.4889
0.0341,0.0002,0.0000,0.0001,0.0337,0.0001,200,0.4957
0.0484,0.0002,0.0000,0.0000,0.0481,0.0000,200,0.4817
0.0511,0.0001,0.0000,0.0000,0.0508,0.0001,200,0.4841
0.0394,0.0001,0.0000,0.0001,0.0390,0.0001,200,0.5041
0.0477,0.0001,0.0000,0.0000,0.0475,0.0000,200,0.4968
0.0373,0.0001,0.0000,0.0001,0.0370,0.0001,200,0.5183
0.0466,0.0002,0.0000,0.0001,0.0463,0.0001,200,0.5149
0.0379,0.0002,0.0000,0.0001,0.0375,0.0001,200,0.5243
0.0347,0.0001,0.0000,0.0000,0.0345,0.0001,200,0.5300
0.0366,0.0002,0.0000,0.0000,0.0363,0.0001,200,0.5352
0.0479,0.0001,0.0000,0.0000,0.0476,0.0001,200,0.5298
0.0395,0.0002,0.0000,0.0001,0.0391,0.0001,200,0.5435
0.0530,0.0001,0.0000,0.0000,0.0527,0.0001,200,0.5445
0.0371,0.0001,0.0000,0.0000,0.0369,0.0000,200,0.5622
0.0390,0.0002,0.0000,0.0001,0.0387,0.0000,200,0.5615
0.0480,0.0002,0.0000,0.0001,0.0476,0.0001,200,0.5556
0.0379,0.0002,0.0000,0.0001,0.0375,0.0002,200,0.5719
0.0514,0.0001,0.0000,0.0000,0.0510,0.0001,200,0.5647
0.0383,0.0002,0.0000,0.0001,0.0380,0.0001,200,0.5778
0.0381,0.0002,0.0000,0.0001,0.0377,0.0001,200,0.5829
0.0366,0.0002,0.0000,0.0000,0.0362,0.0001,200,0.5975
0.0408,0.0001,0.0000,0.0000,0.0405,0.0001,200,0.5993
0.0372,0.0001,0.0000,0.0000,0.0369,0.0000,200,0.6035
0.0470,0.0001,0.0000,0.0000,0.0468,0.0001,200,0.6005
0.0366,0.0002,0.0000,0.0001,0.0362,0.0001,200,0.6161
0.0536,0.0002,0.0000,0.0001,0.0532,0.0001,200,0.6097
0.0480,0.0002,0.0000,0.0001,0.0476,0.0000,200,0.6161
0.0445,0.0001,0.0000,0.0000,0.0442,0.0001,200,0.6211
0.0344,0.0002,0.0000,0.0000,0.0340,0.0001,200,0.6401
0.0411,0.0002,0.0000,0.0001,0.0407,0.0000,200,0.6341
0.0370,0.0001,0.0000,0.0000,0.0367,0.0001,200,0.6475
0.0462,0.0001,0.0000,0.0000,0.0459,0.0001,200,0.6407
0.0406,0.0001,0.0000,0.0000,0.0402,0.0001,200,0.6527
0.0384,0.0001,0.0000,0.0000,0.0382,0.0001,200,0.6640
0.0425,0.0002,0.0000,0.0001,0.0422,0.0001,200,0.6634
0.0392,0.0001,0.0000,0.0000,0.0389,0.0001,200,0.6752
0.0505,0.0001,0.0000,0.0000,0.0503,0.0001,200,0.6655
0.0421,0.0002,0.0000,0.0000,0.0418,0.0001,200,0.6745
0.0386,0.0002,0.0000,0.0000,0.0382,0.0001,200,0.6869
0.0448,0.0002,0.0000,0.0000,0.0445,0.0001,200,0.6846
0.0442,0.0002,0.0000,0.0000,0.0438,0.0001,200,0.6933
0.0444,0.0002,0.0000,0.0001,0.0440,0.0001,200,0.7025
0.0414,0.0002,0.0000,0.0000,0.0411,0.0001,200,0.7059
0.0342,0.0001,0.0000,0.0000,0.0340,0.0001,200,0.7166
0.0371,0.0002,0.0000,0.0001,0.0368,0.0000,200,0.7144
0.0356,0.0002,0.0000,0.0000,0.0352,0.0001,200,0.7255
0.0360,0.0002,0.0000,0.0001,0.0356,0.0001,200,0.7294
0.0525,0.0001,0.0000,0.0000,0.0522,0.0001,200,0.7160
0.0403,0.0002,0.0000,0.0000,0.0400,0.0001,200,0.7375
0.0395,0.0002,0.0000,0.0001,0.0390,0.0001,200,0.7469
0.0357,0.0001,0.0000,0.0000,0.0355,0.0001,200,0.7515
0.0451,0.0001,0.0000,0.0000,0.0448,0.0001,200,0.7473
0.0440,0.0001,0.0000,0.0000,0.0437,0.0001,200,0.7508
0.0360,0.0001,0.0000,0.0000,0.0356,0.0001,200,0.7685
0.0424,0.0001,0.0000,0.0000,0.0420,0.0001,200,0.7654
0.0467,0.0002,0.0000,0.0001,0.0463,0.0001,200,0.7611
0.0426,0.0002,0.0000,0.0000,0.0422,0.0001,200,0.7778
0.0409,0.0001,0.0000,0.0000,0.0406,0.0001,200,0.7872
0.0419,0.0002,0.0000,0.0000,0.0416,0.0000,200,0.7864
0.0379,0.0002,0.0000,0.0000,0.0375,0.0001,200,0.7924
0.0462,0.0001,0.0000,0.0000,0.0459,0.0001,200,0.7948
0.0404,0.0001,0.0000,0.0000,0.0401,0.0001,200,0.8078
0.0409,0.0001,0.0000,0.0000,0.0406,0.0000,200,0.8078
0.0455,0.0002,0.0000,0.0001,0.0451,0.0000,200,0.8045
0.0356,0.0002,0.0000,0.0000,0.0352,0.0001,200,0.8204
0.0411,0.0001,0.0000,0.0000,0.0408,0.0001,200,0.8283
0.0355,0.0002,0.0000,0.0001,0.0351,0.0001,200,0.8410
0.0525,0.0002,0.0000,0.0001,0.0521,0.0001,200,0.8281
0.0511,0.0001,0.0000,0.0000,0.0509,0.0000,200,0.8303
0.0380,0.0002,0.0000,0.0001,0.0377,0.0001,200,0.8482
0.0376,0.0001,0.0000,0.0000,0.0374,0.0001,200,0.8487
0.0382,0.0001,0.0000,0.0000,0.0379,0.0001,200,0.8560
0.0553,0.0001,0.0000,0.0000,0.0550,0.0001,200,0.8500
0.0382,0.0002,0.0000,0.0001,0.0378,0.0001,200,0.8694
0.0416,0.0002,0.0000,0.0001,0.0412,0.0001,200,0.8765
0.0383,0.0002,0.0000,0.0000,0.0380,0.0000,200,0.8806
0.0357,0.0001,0.0000,0.0000,0.0353,0.0001,200,0.8863
0.0429,0.0001,0.0000,0.0000,0.0426,0.0001,200,0.8814
0.0364,0.0002,0.0000,0.0001,0.0360,0.0001,200,0.8943
0.0464,0.0001,0.0000,0.0000,0.0462,0.0001,200,0.8863
0.0412,0.0002,0.0000,0.0001,0.0407,0.0001,200,0.9052
0.0355,0.0002,0.0000,0.0000,0.0351,0.0001,200,0.9181
0.0348,0.0001,0.0000,0.0000,0.0346,0.0000,200,0.9189
0.0463,0.0001,0.0000,0.0000,0.0461,0.0001,200,0.9075
0.0467,0.0002,0.0000,0.0001,0.0463,0.0001,200,0.9220
0.0445,0.0002,0.0000,0.0001,0.0442,0.0000,200,0.9243
0.0449,0.0001,0.0000,0.0001,0.0444,0.0001,200,0.9307
0.0471,0.0002,0.0000,0.0000,0.0468,0.0001,200,0.9328
0.0348,0.0002,0.0000,0.0001,0.0344,0.0001,200,0.9464
0.0361,0.0001,0.0000,0.0000,0.0359,0.0001,200,0.9537
0.0418,0.0001,0.0000,0.0000,0.0416,0.0001,200,0.9539
0.0369,0.0001,0.0000,0.0000,0.0367,0.0001,200,0.9688
0.0524,0.0002,0.0000,0.0000,0.0521,0.0000,200,0.9536
0.0439,0.0002,0.0000,0.0000,0.0435,0.0001,200,0.9686
